Score threshold	Hit in target queries	Hit in decoy queries	FDRs	FDRc				Score threshold	
-1	145	0	0.00000	0.00000			"COUNTIF(target!G:G, "">"	-1	)
-2	473	0	0.00000	0.00000			"COUNTIF(target!G:G, "">"	-2	)
-3	800	0	0.00000	0.00000			"COUNTIF(target!G:G, "">"	-3	)
-4	1132	2	0.00177	0.00353			"COUNTIF(target!G:G, "">"	-4	)
-5	1482	2	0.00135	0.00270			"COUNTIF(target!G:G, "">"	-5	)
-6	1832	4	0.00218	0.00436			"COUNTIF(target!G:G, "">"	-6	)
-7	2157	10	0.00464	0.00923			"COUNTIF(target!G:G, "">"	-7	)
-8	2473	18	0.00728	0.01445			"COUNTIF(target!G:G, "">"	-8	)
-9	2751	31	0.01127	0.02229			"COUNTIF(target!G:G, "">"	-9	)
-10	3010	47	0.01561	0.03075			"COUNTIF(target!G:G, "">"	-10	)
-11	3301	65	0.01969	0.03862			"COUNTIF(target!G:G, "">"	-11	)
-12	3552	79	0.02224	0.04351			"COUNTIF(target!G:G, "">"	-12	)
-13	3768	105	0.02787	0.05422			"COUNTIF(target!G:G, "">"	-13	)
-14	3971	128	0.03223	0.06245			"COUNTIF(target!G:G, "">"	-14	)
-15	4146	170	0.04100	0.07878			"COUNTIF(target!G:G, "">"	-15	)
-16	4259	200	0.04696	0.08971			"COUNTIF(target!G:G, "">"	-16	)
-17	4435	232	0.05231	0.09942			"COUNTIF(target!G:G, "">"	-17	)
-18	4524	254	0.05615	0.10632			"COUNTIF(target!G:G, "">"	-18	)
-19	4609	286	0.06205	0.11685			"COUNTIF(target!G:G, "">"	-19	)
-20	4725	330	0.06984	0.13056			"COUNTIF(target!G:G, "">"	-20	)
-21	4819	357	0.07408	0.13794			"COUNTIF(target!G:G, "">"	-21	)
-22	4905	389	0.07931	0.14696			"COUNTIF(target!G:G, "">"	-22	)
-23	4994	417	0.08350	0.15413			"COUNTIF(target!G:G, "">"	-23	)
-24	5069	453	0.08937	0.16407			"COUNTIF(target!G:G, "">"	-24	)
-25	5156	498	0.09659	0.17616			"COUNTIF(target!G:G, "">"	-25	)
-26	5199	530	0.10194	0.18502			"COUNTIF(target!G:G, "">"	-26	)
-27	5245	565	0.10772	0.19449			"COUNTIF(target!G:G, "">"	-27	)
-28	5314	586	0.11027	0.19864			"COUNTIF(target!G:G, "">"	-28	)
-29	5339	628	0.11763	0.21049			"COUNTIF(target!G:G, "">"	-29	)
-30	5381	659	0.12247	0.21821			"COUNTIF(target!G:G, "">"	-30	)
-31	5404	696	0.12879	0.22820			"COUNTIF(target!G:G, "">"	-31	)
-32	5447	736	0.13512	0.23807			"COUNTIF(target!G:G, "">"	-32	)
-33	5460	764	0.13993	0.24550			"COUNTIF(target!G:G, "">"	-33	)
-34	5490	796	0.14499	0.25326			"COUNTIF(target!G:G, "">"	-34	)
-35	5524	826	0.14953	0.26016			"COUNTIF(target!G:G, "">"	-35	)
-36	5548	878	0.15826	0.27326			"COUNTIF(target!G:G, "">"	-36	)
-37	5564	904	0.16247	0.27953			"COUNTIF(target!G:G, "">"	-37	)
-38	5582	940	0.16840	0.28826			"COUNTIF(target!G:G, "">"	-38	)
-39	5595	977	0.17462	0.29732			"COUNTIF(target!G:G, "">"	-39	)
-40	5610	1003	0.17879	0.30334			"COUNTIF(target!G:G, "">"	-40	)
-41	5628	1029	0.18284	0.30915			"COUNTIF(target!G:G, "">"	-41	)
-42	5628	1048	0.18621	0.31396			"COUNTIF(target!G:G, "">"	-42	)
-43	5646	1081	0.19146	0.32139			"COUNTIF(target!G:G, "">"	-43	)
-44	5665	1105	0.19506	0.32644			"COUNTIF(target!G:G, "">"	-44	)
-45	5677	1133	0.19958	0.33275			"COUNTIF(target!G:G, "">"	-45	)
-46	5689	1153	0.20267	0.33704			"COUNTIF(target!G:G, "">"	-46	)
-47	5698	1174	0.20604	0.34168			"COUNTIF(target!G:G, "">"	-47	)
-48	5705	1208	0.21174	0.34949			"COUNTIF(target!G:G, "">"	-48	)
-49	5712	1233	0.21586	0.35508			"COUNTIF(target!G:G, "">"	-49	)
-50	5724	1261	0.22030	0.36106			"COUNTIF(target!G:G, "">"	-50	)
